"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
brain_stem_step_1,edss,,yesno,"Complete inability to speak or swallow?",,,,,,,[cat_bs]='1',,,,,," @INSTANCETABLE_HIDE"
brain_stem_step_2,edss,,yesno,"<div class=""rich-text-field-label""><p>Any of the following present? </p> <ul> <li><span style=""font-weight: normal;"">Severe facial numbness</span></li> <li><span style=""font-weight: normal;"">Severe facial weakness/drooling/patching</span></li> <li><span style=""font-weight: normal;"">Severe hearing loss</span></li> <li><span style=""font-weight: normal;"">Severe dysarthria (incomprehensible speech)</span></li> <li><span style=""font-weight: normal;"">Sustained dysphagia (pureed diet)</span><br /><br /></li> </ul></div>",,,,,,,"[brain_stem_step_1] = '0'",,,,,," @INSTANCETABLE_HIDE"
brain_stem_step_3,edss,,yesno,"<div class=""rich-text-field-label""><p>Any of the following present? </p> <ul> <li><span style=""font-weight: normal;"">INO</span></li> <li><span style=""font-weight: normal;"">Severe EOM abnormality</span></li> <li><span style=""font-weight: normal;"">Severe Nystagmus</span></li> <li><span style=""font-weight: normal;"">Moderate facial numbness</span></li> <li><span style=""font-weight: normal;"">Moderate facial weakness</span></li> <li><span style=""font-weight: normal;"">Moderate hearing loss</span></li> <li><span style=""font-weight: normal;"">Moderate dysarthria</span></li> <li><span style=""font-weight: normal;"">Dysphagia to liquids and solids</span></li> </ul></div>",,,,,,,"[brain_stem_step_2] = '0'",,,,,," @INSTANCETABLE_HIDE"
brain_stem_step_4,edss,,radio,"Any of the following present? 


","1, Dysphagia to liquids only OR Any abnormality mentioned/perceived by patient | 2, Signs only on exam and NOT mentioned by patient | 3, None of above",,,,,,"[brain_stem_step_3] = '0'",,,,,," @INSTANCETABLE_HIDE"
brainstem_fs_score,edss,,calc,"Brainstem Functional System Score","if([brain_stem_step_1]=1,5,if([brain_stem_step_2]=1,4,if([brain_stem_step_3]=1,3,if([brain_stem_step_4]=1,2,if([brain_stem_step_4]=2,1,if([brain_stem_step_4]=3 OR [cat_bs]=0,0,""""))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE"
pyramidal_step_1,edss,Pyramidal,yesno,"Muscle weakness (BMRC < 5 anywhere?)",,,,,,,,,,,,," @INSTANCETABLE_HIDE @DEFAULT='0'"
bmrc,edss,,radio,"<div class=""rich-text-field-label""><p>BMRC grades :</p> <p><br /><span style=""font-weight: normal;"">0 = no muscular contraction</span><br /><span style=""font-weight: normal;"">1 = contraction, but no joint movement</span><br /><span style=""font-weight: normal;"">2 = movement, but not against gravity</span><br /><span style=""font-weight: normal;"">3 = movement against gravity but not against resistance</span><br /><span style=""font-weight: normal;"">4 = movement against resistance, but not full strength</span><br /><span style=""font-weight: normal;"">5 = normal, no weakness</span><br /><br /><em><span style=""font-weight: normal;"">Note: </span></em></p> <ul> <li><em><span style=""font-weight: normal;"">Entire limb = 5 muscle groups (MG), </span></em></li> <li><em><span style=""font-weight: normal;"">Proximal (both upper and lower) = 3 MG, Distal (both upper and lower) = 2 MG </span></em></li> <li><em><span style=""font-weight: normal;"">When scoring, always round to the worse BMRC grade • E.g.5-=4,4+=4)</span></em></li> </ul></div>","1, BMRC 0-1 in all 4 limbs OR Quadriplegia | 2, BMRC 0-1 in two limbs (bilateral LE or one side) OR BMRC 2 in 3-4 limbs OR Paraplegia or hemiplegia OR Severe quadriparesis | 3, BMRC 3 in > 2 MG OR BMRC 2 in two limbs (bilateral LE or one side) OR BMRC 0-1 in one extremity OR Monoplegia OR Severe paraparesis or hemiparesis OR Moderate quadriparesis | 4, BMRC 4 in > 2MG OR BMRC 3 in 1-2 MG OR BMRC 0-2 in 1 MG OR Severe monoparesis OR Mild to moderate paraparesis or hemiparesis | 5, BMRC4in1-2MG OR Minimal disability (not meeting other criteria)",,,,,,"[pyramidal_step_1] = '1'",,,,,," @INSTANCETABLE_HIDE"
pyramidal_step_2,edss,,yesno,"Motor fatigability OR gait difficulty OR minimal disability?",,,,,,,"[pyramidal_step_1] = '0'",,,,,," @INSTANCETABLE_HIDE"
pyramidal_step_3,edss,,yesno,"<div class=""rich-text-field-label""><p>Abnormality in ANY of the following:</p> <ul> <li><span style=""font-weight: normal;"">Reflexes</span></li> <li><span style=""font-weight: normal;"">Pronator/downward drift</span></li> <li><span style=""font-weight: normal;"">Ability to lift legs off of bed</span></li> <li><span style=""font-weight: normal;"">Walking on heels/toes/hopping</span></li> <li><span style=""font-weight: normal;"">Spasticity</span></li> </ul></div>",,,,,,,"[pyramidal_step_2] = '0'",,,,,," @INSTANCETABLE_HIDE"
pyramidal_fs_score,edss,,calc,"Pyramidal Functional System Score","if([bmrc]=1,6,if([bmrc]=2,5,if([bmrc]=3,4,if([bmrc]=4,3,if([bmrc]=5,2,if([pyramidal_step_2]=1,2,if([pyramidal_step_3]=1,1,if([pyramidal_step_3]=0,0,""""))))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE"
